▲ Next.js 16.2.6 (webpack)
- Local:         http://localhost:3002
- Network:       http://28.0.0.1:3002
- Environments: .env.local
✓ Ready in 409ms

○ Compiling / ...
 GET / 200 in 27.8s (next.js: 27.6s, application-code: 188ms)
 GET / 200 in 50ms (next.js: 3ms, application-code: 47ms)
 GET /devices/compute-config 200 in 13.4s (next.js: 13.3s, application-code: 105ms)
 GET /favicon.ico 200 in 1545ms (next.js: 1526ms, application-code: 19ms)
 GET /devices/compute-config 200 in 340ms (next.js: 96ms, application-code: 244ms)
 GET /platform/rbac 200 in 39ms (next.js: 6ms, application-code: 32ms)
 GET / 200 in 82ms (next.js: 16ms, application-code: 66ms)
 GET / 200 in 28ms (next.js: 2ms, application-code: 26ms)
 GET / 200 in 29ms (next.js: 2ms, application-code: 27ms)
 GET / 200 in 23ms (next.js: 2ms, application-code: 21ms)
 GET / 200 in 28ms (next.js: 2ms, application-code: 26ms)
 GET / 200 in 28ms (next.js: 2ms, application-code: 26ms)
 GET / 200 in 28ms (next.js: 2ms, application-code: 26ms)
 GET / 200 in 29ms (next.js: 1902µs, application-code: 27ms)
 GET /overview/dual-ledger 200 in 802ms (next.js: 669ms, application-code: 133ms)
 GET /overview/dual-ledger 200 in 25ms (next.js: 1837µs, application-code: 23ms)
 GET /overview/dual-ledger 200 in 23ms (next.js: 1828µs, application-code: 21ms)
 GET /finance/withdrawals 200 in 606ms (next.js: 497ms, application-code: 109ms)
 GET /finance/withdrawals 200 in 25ms (next.js: 1797µs, application-code: 23ms)
 GET /finance/withdrawals 200 in 25ms (next.js: 1776µs, application-code: 23ms)
 GET /finance/withdrawals 200 in 24ms (next.js: 1972µs, application-code: 23ms)
 GET /finance/withdrawals 200 in 26ms (next.js: 1804µs, application-code: 24ms)
 GET /users/search/U-88421 200 in 2.6s (next.js: 2.5s, application-code: 157ms)
 GET /users/search 200 in 826ms (next.js: 651ms, application-code: 175ms)
 GET / 200 in 50ms (next.js: 20ms, application-code: 30ms)
 GET /users/search 200 in 30ms (next.js: 2ms, application-code: 28ms)
 GET /users/search 200 in 28ms (next.js: 1975µs, application-code: 26ms)
 GET /users/search 200 in 35ms (next.js: 1881µs, application-code: 33ms)
 GET / 200 in 62ms (next.js: 3ms, application-code: 60ms)
 GET /users/search 200 in 27ms (next.js: 2ms, application-code: 25ms)
 GET /users/actions 200 in 146ms (next.js: 107ms, application-code: 39ms)
 GET /users/actions 200 in 27ms (next.js: 1982µs, application-code: 25ms)
 GET /users/actions 200 in 28ms (next.js: 3ms, application-code: 25ms)
 GET /users/assets 200 in 30ms (next.js: 3ms, application-code: 27ms)
 GET /users/assets 200 in 31ms (next.js: 4ms, application-code: 27ms)
 GET /users/assets 200 in 35ms (next.js: 3ms, application-code: 32ms)
 GET /users/kyc 200 in 26ms (next.js: 1621µs, application-code: 25ms)
 GET /users/kyc 200 in 27ms (next.js: 1806µs, application-code: 25ms)
 GET /users/security 200 in 32ms (next.js: 6ms, application-code: 26ms)
 GET /users/security 200 in 27ms (next.js: 1681µs, application-code: 25ms)
 GET /users/reg-risk 200 in 38ms (next.js: 2ms, application-code: 36ms)
 GET /users/reg-risk 200 in 27ms (next.js: 2ms, application-code: 25ms)
 GET /users/search/U-88421 200 in 64ms (next.js: 18ms, application-code: 46ms)
 GET /users/search/U-88421 200 in 31ms (next.js: 2ms, application-code: 29ms)
 GET /users/search/U-88421 200 in 33ms (next.js: 4ms, application-code: 28ms)
 GET /users/search/U-88421 200 in 33ms (next.js: 1783µs, application-code: 31ms)
 GET /users/search/U-88421 200 in 28ms (next.js: 2ms, application-code: 26ms)
 GET /users/search/U-88421 200 in 33ms (next.js: 1554µs, application-code: 31ms)
 GET /users/search/U-88421 200 in 28ms (next.js: 1967µs, application-code: 26ms)
 GET /users/search/U-88421 200 in 33ms (next.js: 6ms, application-code: 28ms)
 GET /users/search/U-88421 200 in 34ms (next.js: 1615µs, application-code: 33ms)
 GET /users/search/U-88421 200 in 27ms (next.js: 1723µs, application-code: 26ms)
 GET /users/search/U-88421 200 in 25ms (next.js: 1639µs, application-code: 23ms)
 GET /users/search/U-88421 200 in 26ms (next.js: 3ms, application-code: 23ms)
 GET /users/search/U-88421 200 in 26ms (next.js: 3ms, application-code: 23ms)
 GET /users/search/U-88421 200 in 29ms (next.js: 1753µs, application-code: 28ms)
 GET /users/search/U-88421 200 in 25ms (next.js: 1630µs, application-code: 23ms)
 GET /platform/rbac 200 in 32ms (next.js: 6ms, application-code: 26ms)
 GET /platform/rbac 200 in 27ms (next.js: 1578µs, application-code: 26ms)
 GET /platform/rbac 200 in 29ms (next.js: 1530µs, application-code: 28ms)
 GET /platform/rbac 200 in 30ms (next.js: 1984µs, application-code: 28ms)
 GET /platform/audit 200 in 41ms (next.js: 3ms, application-code: 38ms)
 GET /platform/audit 200 in 29ms (next.js: 1783µs, application-code: 27ms)
 GET /platform/audit 200 in 40ms (next.js: 1894µs, application-code: 38ms)
 GET /platform/audit 200 in 29ms (next.js: 1869µs, application-code: 27ms)
 GET /platform/config 200 in 28ms (next.js: 2ms, application-code: 26ms)
 GET /platform/config 200 in 33ms (next.js: 5ms, application-code: 28ms)
 GET /platform/config 200 in 30ms (next.js: 1817µs, application-code: 29ms)
 GET /platform/config 200 in 27ms (next.js: 2ms, application-code: 25ms)
 GET /platform/events 200 in 31ms (next.js: 3ms, application-code: 28ms)
 GET /platform/events 200 in 26ms (next.js: 1962µs, application-code: 24ms)
 GET /platform/events 200 in 26ms (next.js: 3ms, application-code: 23ms)
 GET /platform/events 200 in 28ms (next.js: 2ms, application-code: 26ms)
 GET /content/copy-ab 200 in 27ms (next.js: 2ms, application-code: 25ms)
 GET /content/copy-ab 200 in 28ms (next.js: 3ms, application-code: 25ms)
 GET /content/copy-ab 200 in 36ms (next.js: 10ms, application-code: 26ms)
 GET /content/nova 200 in 29ms (next.js: 2ms, application-code: 27ms)
 GET /content/nova 200 in 27ms (next.js: 1965µs, application-code: 25ms)
 GET /content/nova 200 in 34ms (next.js: 1789µs, application-code: 32ms)
 GET /content/notifications 200 in 28ms (next.js: 3ms, application-code: 25ms)
 GET /content/notifications 200 in 41ms (next.js: 13ms, application-code: 28ms)
 GET /content/notifications 200 in 29ms (next.js: 1603µs, application-code: 27ms)
 GET /content/trust 200 in 31ms (next.js: 2ms, application-code: 28ms)
 GET /content/trust 200 in 26ms (next.js: 1844µs, application-code: 24ms)
 GET /content/trust 200 in 47ms (next.js: 6ms, application-code: 42ms)
 GET /content/trust 200 in 29ms (next.js: 1904µs, application-code: 27ms)
 GET /content/i18n 200 in 28ms (next.js: 1662µs, application-code: 26ms)
